CustomerID,Recency,Frequency,Monetary,Churn,Tenure,AvgOrderValue,FrequencyRate,RevenuePerDay
12346.0,325,1,77183.6,1,0,77183.6,1.0,77183.6
12347.0,1,7,4310.0,0,365,23.681318681318682,0.01912568306010929,11.775956284153006
12348.0,74,4,1797.24,0,282,57.97548387096774,0.014134275618374558,6.350671378091873
12349.0,18,1,1757.55,0,0,24.076027397260273,1.0,1757.55
12350.0,309,1,334.4,1,0,19.670588235294115,1.0,334.4
12352.0,35,8,2506.04,0,260,29.482823529411764,0.03065134099616858,9.601685823754789
12353.0,203,1,89.0,1,0,22.25,1.0,89.0
12354.0,231,1,1079.4,1,0,18.610344827586207,1.0,1079.4
12355.0,213,1,459.4,1,0,35.33846153846154,1.0,459.4
12356.0,22,3,2811.43,0,302,47.65135593220339,0.009900990099009901,9.278646864686468
12357.0,32,1,6207.67,0,0,47.38679389312977,1.0,6207.67
12358.0,1,2,1168.06,0,149,61.47684210526315,0.013333333333333334,7.787066666666666
12359.0,57,4,6372.58,0,274,25.695887096774193,0.014545454545454545,23.173018181818183
12360.0,51,3,2662.06,0,148,20.63612403100775,0.020134228187919462,17.866174496644295
12361.0,286,1,189.9,1,0,18.990000000000002,1.0,189.9
12362.0,2,10,5226.2300000000005,0,292,19.64748120300752,0.034129692832764506,17.836962457337886
12363.0,109,2,552.0,1,132,24.0,0.015037593984962405,4.150375939849624
12364.0,7,4,1313.1,0,104,15.448235294117646,0.0380952380952381,12.505714285714285
12365.0,290,2,641.38,1,0,29.153636363636362,2.0,641.38
12367.0,3,1,168.9,0,0,15.354545454545455,1.0,168.9
12370.0,50,4,3545.69,0,309,21.231676646706585,0.012903225806451613,11.437709677419354
12371.0,44,2,1887.96,0,14,29.96761904761905,0.13333333333333333,125.864
12372.0,71,3,1298.04,0,224,24.962307692307693,0.013333333333333334,5.769066666666666
12373.0,310,1,364.6,1,0,26.042857142857144,1.0,364.6
12374.0,24,1,742.9300000000001,0,0,22.513030303030305,1.0,742.9300000000001
12375.0,10,2,457.5,0,87,26.91176470588235,0.022727272727272728,5.198863636363637
12377.0,314,2,1628.12,1,39,21.144415584415587,0.05,40.702999999999996
12378.0,129,1,4008.62,1,0,18.30420091324201,1.0,4008.62
12379.0,81,2,852.24,0,88,21.306,0.02247191011235955,9.575730337078651
12380.0,21,4,2724.81,0,164,26.200096153846154,0.024242424242424242,16.514
12381.0,4,5,1845.31,0,115,21.21045977011494,0.04310344827586207,15.907844827586207
12383.0,184,5,1850.56,1,167,18.69252525252525,0.02976190476190476,11.015238095238095
12384.0,28,2,585.27,0,92,21.676666666666666,0.021505376344086023,6.293225806451613
12386.0,337,2,401.9,1,29,40.19,0.06666666666666667,13.396666666666667
12388.0,15,6,2780.66,0,311,27.8066,0.019230769230769232,8.912371794871794
12390.0,79,1,549.84,0,0,17.1825,1.0,549.84
12391.0,21,1,460.89,0,0,4.6089,1.0,460.89
